,CATEGORY,PROFIT,MSE,IS_ARIMA
0,Apples,4000.1816293362685,4710.088903088465,True
1,Asian Vegies,1472.974218686351,3887.1121971720377,True
2,Avocadoes,-225.18213713511557,3989.4885732215976,True
3,Bananas,-16.011874221501838,0.08906930233812406,True
4,Berries,529.6352047355236,294.067021992838,True
5,Bunch Vegies,2981.750475080061,1699.987994841914,True
6,Cabbages,-127.58944583134327,823.1113097233358,True
7,Chillies,579.3079999999999,168.09325100456005,False
8,Citrus,4389.729169218685,21323.896907875875,True
9,Cucumbers,1508.6962,702.8948117532907,False
10,Cut Fruits,0.0,0.0,False
11,Cut Veggies,1611.052234871869,1788.13305079076,True
12,Eggs,574.1130406466526,212.05497114232398,True
13,Flowers,2493.804872414662,4448.88603245935,True
14,Fruits,106.64021280111963,2483.8962241109757,True
15,Grapes,1090.5731999999998,4924.517371364558,True
16,Groceries-Dry Goods,1660.3634257345727,1174.4250134972376,True
17,Herbs,2341.8999698616035,3226.2851824153063,True
18,Kalamata olives,94.11983195776305,34.96069815605005,True
19,Lettuces,1731.4341739665158,3076.2432921819,True
20,Melons,358.53591365828515,1517.6044216381972,True
21,Multi buy,599.7000000000003,567.1127200000009,False
22,Mushrooms,972.326008946166,392.885787762007,True
23,Nuts,133.9074181818182,43.41510199897825,False
24,Olympian Products,284.6880249341201,80.05478777508183,True
25,Onions,3300.2576448591763,6749.812641164446,True
26,Other Fruits,823.0764,1155.6072472842013,False
27,Other Vegies,7621.316264105723,34225.1011627739,True
28,Pastas,129.28048817975383,21.8678157690521,True
29,Pears,640.3498989162424,545.6317484730528,True
30,Potatoes,4518.637168218352,13918.094460813689,True
31,Pumpkins,2046.5389384281084,4312.244705211074,True
32,Root Vegies,666.8221428880133,480.3365143472567,True
33,Sri Lankan Groceries,1426.0308585922476,1455.299712445661,True
34,Stonefruits,6369.380799999999,216955.4658488591,True
35,Tomatoes,2951.3242000000005,3264.4722009194484,False
36,Tropical Fruits,1083.6455999999998,1961.1039265871987,False
37,Veggies,63.020788923205984,47.67225731998982,True
38,capsicum,2077.853666432606,5185.411340894322,True
39,carrots,535.9719999999998,118.59687743999977,False
40,coconut Products,198.90548037474355,102.0819623917814,True
41,trutaste,113.9,24.486163471074395,False
